AAPL;MSFT;UNH;JNJ;BRK-B;JPM;AMZN;HD;RTX;HON;GOOG;META;PG;KO;XOM;CVX;NEE;DUK;LIN;SHW;PLD;AMT
1,49E-05;1,71E-05;7,64E-05;0,000282352;0,00010055;0,000148708;3,07E-05;5,88E-05;0,0006229;0,000102321;4,20E-05;8,58E-05;0,000157891;0,000327463;0,000614163;0,0004783;4,17E-05;0,000479844;6,62E-05;8,77E-05;4,79E-05;7,90E-05
1,26E-05;1,68E-05;2,90E-05;0,000332928;7,67E-05;0,000150824;2,44E-05;5,73E-05;0,000517165;9,79E-05;4,50E-05;0,000202735;0,000182784;0,00033365;0,000586985;0,000473658;3,90E-05;0,000533806;5,56E-05;5,10E-05;4,69E-05;0,00010218
1,30E-05;1,28E-05;2,44E-05;0,000208766;6,89E-05;0,000133159;6,79E-05;4,96E-05;0,000510009;9,78E-05;3,88E-05;5,88E-05;0,000148292;0,000314753;0,000541401;0,000466612;5,15E-05;0,000557633;5,71E-05;4,76E-05;4,51E-05;7,62E-05
1,33E-05;1,33E-05;2,34E-05;0,000208317;6,81E-05;0,00011756;2,48E-05;4,84E-05;0,000508524;9,64E-05;5,95E-05;5,04E-05;0,000157486;0,000319923;0,000554371;0,000612154;5,07E-05;0,000475065;4,95E-05;4,99E-05;4,88E-05;0,000104861
1,44E-05;1,52E-05;2,23E-05;0,00020638;7,02E-05;0,000157941;1,58E-05;4,32E-05;0,000568402;9,47E-05;3,52E-05;4,87E-05;0,000146809;0,00026919;0,000553101;0,000469633;3,96E-05;0,000397328;5,11E-05;4,94E-05;3,49E-05;8,01E-05
1,20E-05;1,13E-05;2,73E-05;0,000227668;7,75E-05;0,000127053;1,75E-05;5,16E-05;0,000433693;9,63E-05;3,75E-05;5,05E-05;0,000138429;0,000268019;0,000561834;0,000427481;7,56E-05;0,000377861;4,80E-05;4,21E-05;3,36E-05;7,07E-05
1,13E-05;1,03E-05;2,56E-05;0,000174014;7,53E-05;0,000115328;1,75E-05;4,16E-05;0,000427189;8,91E-05;3,25E-05;4,62E-05;0,000132612;0,000279523;0,000524411;0,000452184;4,22E-05;0,000376712;5,55E-05;3,85E-05;3,40E-05;6,00E-05
1,14E-05;1,13E-05;2,12E-05;0,000169886;5,86E-05;0,000106739;2,06E-05;3,75E-05;0,000404305;8,96E-05;3,77E-05;4,35E-05;0,000143973;0,000245608;0,000597036;0,000669712;4,37E-05;0,000401714;4,32E-05;3,99E-05;3,55E-05;6,22E-05
1,26E-05;9,90E-06;2,26E-05;0,000163746;5,47E-05;0,000109766;4,28E-05;5,70E-05;0,000405474;8,69E-05;3,33E-05;4,79E-05;0,000136235;0,000243063;0,000529842;0,000437623;4,32E-05;0,000382954;4,24E-05;3,67E-05;3,52E-05;5,33E-05
3,17E-05;1,26E-05;3,29E-05;0,000206818;0,000109861;0,00020853;3,63E-05;6,42E-05;0,000396004;0,000123676;6,47E-05;0,000116936;0,000132665;0,0002208;0,000598298;0,000442717;3,76E-05;0,000346895;5,59E-05;4,69E-05;4,25E-05;8,34E-05
1,54E-05;1,44E-05;3,33E-05;0,00021841;9,21E-05;0,000125145;3,30E-05;7,07E-05;0,000401545;0,000178562;4,90E-05;7,12E-05;0,00013704;0,000234403;0,000477655;0,000384234;3,61E-05;0,00034308;5,05E-05;4,35E-05;3,69E-05;6,33E-05
1,17E-05;1,66E-05;3,21E-05;0,000242333;7,69E-05;0,000125334;3,59E-05;4,58E-05;0,00037903;9,72E-05;4,62E-05;6,25E-05;0,000131492;0,000201873;0,000458947;0,000364791;3,82E-05;0,000281656;4,84E-05;4,46E-05;3,65E-05;5,82E-05
